"WK" "FP_COMP_OPS_EXE_X87" "BR_INST_RETIRED_ALL_BRANCHES" "BR_INST_RETIRED_CONDITIONAL" "BR_MISP_RETIRED_ALL_BRANCHES" "INSTR_RETIRED_ANY" "UOPS_RETIRED_ALL" "RESOURCE_STALLS_ANY" "INT_MISC_STALL_CYCLES" "L3_LAT_CACHE_MISS" "ICACHE_MISSES" "L2_RQSTS_MISS" "UNHALTED_CLK_CYCLES" "POWER"
9 94818186 3809634546 2868863609 87247398 48578060045 68001087692 17055476003 20189642215 44847388 337393989 683521996 50397963235 36.49873
9 157669798 5241168961 4211020660 95685262 61041582303 71047996507 18323056334 21971709471 51529595 305981251 676333754 52423669321 36.24874
9 156943106 4930207189 4007836856 91965555 55681734402 56147972468 13892479047 16619333585 24181654 192276311 459524826 39903777478 36.12374
9 133102320 4005816705 3309264997 65009807 43887489160 30653264376 6732745978 8134162887 2332890 38881527 117411601 19828816616 35.99874
9 263725754 6589897179 5844758391 37942495 64558479384 78274319246 16477133658 17109624831 2414337 102958395 224604868 38589294897 28.24894
9 276192900 6855742428 6075432597 39018780 67230209667 92253382134 19148038425 19725411025 2408417 120721444 267179395 44642550634 25.62408
9 350320080 8562727173 7577332343 52824848 84668105077 44691238183 9743888482 10593797586 1751600 62322654 146133104 24617023567 25.74911
10 75869266 4130268777 2382648890 63717163 30295735350 69240480383 18833914876 20822640762 38660607 67933738 247574280 46249945407 31.12468
10 128419791 5079996692 3291938047 64662279 38219588856 69726227406 19654357473 21641134311 44850852 71701304 254625133 46032778000 30.99959
10 158549851 5745442682 3934310858 66315958 45525996174 79983514251 21670643081 22420188260 49219661 87736448 284121916 45553727554 29.24963
10 250574334 8062140817 6028626248 79472856 69417308014 93371066442 24818517631 25627423312 51907637 104284307 306994754 52377715958 28.99962
10 297105034 9324779603 7171567532 85115258 82634629037 69212934921 20526626485 22195261759 52722877 73097407 284137471 46032325335 30.62461
10 190534438 6519739159 4709171294 69069773 54427784120 68598331219 20450057159 22172602168 53697457 71125439 270827380 46032213856 29.9996
10 144018224 3494001288 3080645111 20344065 33611853766 43180878698 19271889283 21018959906 82638493 32017602 236712092 37751808942 29.37462
10 140439511 3469443822 3073367715 19138300 33491947898 40130164533 33332896846 35065011683 181337494 17964404 309304739 48032862428 31.12459
10 150244946 3812585541 3124099699 24343938 36978078072 58297947042 36839333608 39271331949 179453128 41434997 350899599 59747517269 33.62465
10 88690188 2573154631 1752292656 18152475 25858487471 27943556121 28910721109 29692354373 170717742 8707422 256845281 37975141355 34.49966
10 20264231 958088084 229259974 9524529 10339800771 27480454348 28360759221 29258680069 168162426 8812740 253023014 38239190119 34.74959
10 24212274 922726447 215889400 9598427 10045539204 27492254822 28406301851 29239124693 168039868 8605503 253091890 38203299718 34.87468
10 24577416 937993470 220468643 9823846 10198782966 27494380025 28379239066 29235566581 168171249 8814160 253499523 38223647028 34.74973
10 24854929 947429000 222308111 9894370 10306951657 27596134686 28390152417 29344786491 168180253 8719649 252986078 38327499786 34.87471
10 25011140 952981782 223537474 9896081 10368736768 27470411156 28391239714 29264594052 168309797 8722814 253891859 38212635038 34.8747
10 13789292 821531920 183203687 11148550 8400117397 27465404600 28400695500 29259460975 168293022 8679867 253701956 38170192764 23.99964
11 227118422 5607030750 5047901258 37266748 72272442767 88355266568 48622970264 51186527249 546879651 60003571 1026055706 80445884945 41.99953
11 174332586 4183873674 3788058426 21859193 58126600393 91135382251 45771168865 48155429555 484268571 75110731 864807891 76671260128 41.37442
11 166433619 3972170365 3619874003 18472455 60002683363 96374456850 39710340601 41695735909 300052334 101838365 735293602 70394786754 41.24956
11 194145716 4683142747 4233120814 23939995 63506946805 61433931827 32595923287 34637181770 365857399 41901839 664267517 54802844639 40.12443
11 203035720 4954768774 4465908842 37061476 62669701968 79631986799 46914196978 49503253485 610972018 45035429 1008791927 75894923550 40.24953
11 203130578 5030111767 4559130690 30984015 69200085862 65635282780 37993428138 40111470130 468880780 43129633 752852477 61270090822 42.99953
11 154137713 3814387419 3492525666 18157720 60636755325 80908791932 41684624585 44080589684 411850920 69851768 838245893 69459849968 42.12458
11 152418934 3868707361 3332034436 41729102 49628514109 66336685828 28755814209 31647391527 270874633 56365796 470077823 55873901309 42.87455
11 212741011 5478219003 4924699104 34279716 67933348232 39473225604 27497154682 28774037037 372553651 19997193 540342362 41336303633 40.4994
11 178918983 4328051119 3900265769 24425609 54883427845 29311511670 25547583213 26482484707 376821377 7636063 480382630 35357229300 31.87462
11 62938395 1505321102 1370910841 7110546 23184117128 29379919648 25646125021 26558487904 377875547 7640815 481201766 35411226819 26.49972
11 22893234 567475699 541523128 1105307 14495667478 25686290882 20378321625 21208072650 301812458 6937994 400755284 28892192636 26.37472
11 369288 251458230 69587023 22976363 1791477563 17588648983 14950306458 15358881128 222907941 5389437 340053723 19472662806 27.62461
11 50473 5245414 2819626 172325 23712344 22367490126 18916872668 19248538157 283952822 5461354 389836074 24477862112 36.9996
11 39591 3649632 1806022 134080 16695837 35086158671 29818370849 30147225609 446962748 5879207 585402922 38411818076 36.99959
11 40681 4239610 2185192 140433 19559715 38572735741 30847559754 31301287752 460572331 6096526 614684950 41048311408 36.74956
11 58199940 1629561835 1391974836 37985212 37434346815 52138079722 43862042250 44331395872 656132739 6662631 1004505329 57217257710 35.87456
11 68519127 1710136105 1642217387 9752886 43741418397 52131757685 44323991455 44712600631 663696591 6573724 879680612 57246952848 36.99955
11 68369524 1715784304 1642956656 4292235 43583411952 52117359124 44505163240 44862699222 664853238 6473315 861118269 57272914596 36.87456
11 56371881 1417826532 1354741431 2651085 35852209280 25441989513 21451638037 21761080630 318895946 6395209 413533650 27904233999 36.74958
12 190651067 19389975090 15501946087 90443258 84240138755 95600209369 782030930 2582910337 9610803 10994748 51659296 39771654870 28.62436
12 1444998468 11143546509 7191420680 67154122 102411108136 90503953615 21060124411 24894651478 15218481 5011989 95493457 58269837579 28.87435
12 688031091 4086810424 2445312428 29305832 43722899587 77960292241 21599167777 25807620291 4109785 2875661 51185931 55568234577 43.24892
12 768098197 4560652101 2728769866 30479587 48806274840 66976187624 17963964663 22167347584 3031016 2823153 44341453 49223943954 43.49895
12 581410395 3454340086 2066715488 23188571 36958966309 92936949460 26439875659 30644377688 3977310 2892844 59021408 64063433812 43.49893
12 566812833 3367434129 2014712019 23838517 36028956736 85406756042 24152705834 28320827427 4435220 3120760 55881252 59831965559 43.49892
12 962888991 5715259732 3419708067 36533323 61174262476 119806444456 35153249701 39352283600 5828666 3150495 75106922 79599555868 43.49895
12 600724096 3567672634 2134528036 28472069 38172530157 81207895561 21874062060 26288846294 4256796 2982045 53353484 58257206828 43.49898
12 758881701 5041149509 3100990518 32919486 49899368326 64209275425 17288634582 21203609911 3606692 4279750 44815233 47401528839 43.49894
12 588222862 12565275384 8945465243 96994278 66093846145 79085139653 2991863313 7072765967 7004475 46110035 27995508 39128894094 35.24922
13 1629452148 11794454874 10383354656 312254354 65024404659 113445635189 11760755753 17755502839 41888496 12117731 172589880 64016978822 38.37461
13 2605679091 12593846869 11731904559 504172152 77473697853 124548157274 20754007966 27479558080 42789938 10474856 198804594 79238905967 39.37457
13 2122208801 11062177513 8803267782 293277695 87868767472 106751234988 20093154418 27893505354 56171903 9417704 220777073 80166973621 42.74941
13 2703451422 12549422301 10820091056 446584512 93734957699 114429125247 25293935598 33091957513 51757061 8612826 195599985 84090740907 43.24957
13 2451449341 11510072438 9649995900 388649837 88772879310 118420568190 25637619244 33316679358 58954319 9074909 231975499 86622439588 44.12454
13 2237099851 10865792374 8702787213 335275475 88583268263 110257566738 24231352289 31987076516 52139045 8422489 222088353 82877047920 43.37456
13 2497365057 12291512527 9771263563 368581248 101534217992 123970073279 25039594322 33083950015 41992676 9558427 201203247 88906058845 44.62456
13 2880981376 13623231632 11573279010 488823782 104053571561 110024956735 23692794217 31164298697 54400739 9208858 225485624 81895039354 44.12455
13 2208918221 10679590398 8535146732 310940221 87282303015 116607534172 22892093052 31206840422 43998197 9145546 204430616 86507800974 44.12455
13 2492167173 11693450817 9930466998 408689252 89038074127 77450145701 13917257572 20808863747 60172422 22808296 208521586 56723263555 43.24956
13 2531734079 14730656442 13004693624 498541132 86818897234 57462866631 7303489600 13687923640 55117490 27880494 187795397 42291529514 39.74958
13 3105058805 15515519361 14205433943 630168946 95453346318 48666953907 10671791111 15623963103 77745555 9193471 204733356 35125207416 36.87464
13 2833856369 12281119859 11705968294 579142412 78346683918 50512801011 10912319263 16409862499 76826212 8498457 192403060 34716462279 34.87464
13 2927413053 12582116941 11970989530 556354776 80310137159 53129688511 10156222124 15285883787 55935864 9092967 196794814 36899455269 2.30582e+18
13 3214181557 13941183614 13239191218 641999594 89289155041 92737699381 13299006186 18722566139 49401159 10158991 207195241 60865642273 34.74957
13 3000995879 13057500148 12430167484 595863262 83314003208 80244386339 11053460415 15131600722 29637183 9256513 155695900 51292642793 34.99964
14 297030491 1373481443 912366648 15024556 39945128820 80599262430 12635727220 14514168609 34792802 324730325 522723330 41605845763 40.12449
14 367691138 1823338032 1196685207 17244572 47491540366 119847282697 30117457808 33591598774 26523853 188936892 407151223 76875674265 34.49966
14 904021620 4979569788 3077576180 37193040 79326918065 166378580571 43997816845 47038457285 30264729 171530929 413786435 99094639268 34.49968
14 1023202911 5455876924 3407211447 42373996 96516367719 140702304860 39275422306 42360959221 21669254 70447769 279971403 87345194122 43.12449
14 629724084 3412425262 2158137544 27059818 64350415381 160232829946 41958166964 45226750100 30524874 173878819 395979509 96395246661 43.74961
14 1296661833 7277918622 4412572980 48436209 97379829074 141896705189 38663894117 41926758752 23550728 105253461 252855450 88114843336 43.99961
14 1361783809 7860119603 4802216816 50227947 107665939288 146823179898 39319620035 42485088480 26672380 156155341 309870766 89410356656 42.24946
